"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2023-09-02,100691.990550666,94979.8479394892,91936.2555107657,99047.4658127216,89405.9422769651,100553.753602013
2023-09-03,97722.4395462078,97545.5318703609,95635.1859404782,103661.908619127,91971.6262078368,103119.437532885
2023-09-04,100408.004547216,100345.177691968,95222.2792733751,102256.627096844,94771.2720294437,105919.083354492
2023-09-05,99901.4015427209,101038.112930865,96949.0096190787,103616.343874721,95464.2072683411,106612.018593389
2023-09-06,101310.872523731,100692.873776783,95502.6646457789,105768.694674695,95118.9681142586,106266.779439307
2023-09-07,102020.492536647,101862.13950746,97986.5464569082,106601.713200654,96288.2338449356,107436.045169984
2023-09-08,100123.007049519,100485.47261806,96716.016649785,105758.709031808,94911.5669555363,106059.378280584
2023-09-09,96620.7195372608,98083.5001807162,95526.7126324461,105758.709031808,92509.5945181921,103657.40584324
2023-09-10,99580.112525716,96209.8603274463,93728.2788267353,103644.312916315,90635.9546649221,101783.76598997
2023-09-11,104988.48054867,102973.661848094,95812.92854846,105563.824954322,97399.7561855701,108547.567510618
2023-09-12,103297.681537124,105039.109290164,99726.3989479435,109204.995986244,99465.2036276401,110613.014952688
2023-09-13,102091.09653926,103786.844851673,99295.6391849486,109198.539066016,98212.9391891493,109360.750514198
2023-09-14,101020.325044241,101773.873639102,97590.8468445382,107284.737648224,96199.967976578,107347.779301626
2023-09-15,99441.5225568083,99067.3043945719,96728.4693835775,107274.608876781,93493.3987320477,104641.210057096
2023-09-16,97291.4755346251,98078.3555788636,94097.0093489052,107509.248141212,92504.4499163395,103652.261241388
2023-09-17,100359.508541206,99468.9905078547,94337.007369319,105390.203765511,93895.0848453306,105042.896170379
2023-09-18,101472.853034786,103475.625004446,97280.7631273621,105794.722295632,97901.7193419224,109049.530666971
2023-09-19,100860.203043343,102823.126605449,97729.9005767586,106219.430980815,97249.2209429248,108397.032267973
2023-09-20,100578.426546608,101976.931510817,97567.488859982,106213.150585282,96403.0258482926,107550.837173341
2023-09-21,104203.786035966,100994.086733534,96462.2385274291,105584.767319515,95420.1810710101,106567.992396058
2023-09-22,99814.4550208176,102809.693163205,98047.7741532432,107458.097961501,97235.7875006812,108383.598825729
2023-09-23,95479.9845444837,98282.1007301874,93997.9001447294,105344.381678486,92708.1950676633,103856.006392712
2023-09-24,96652.0735320367,97661.9788751447,93557.4369893376,105692.06137031,92088.0732126206,103235.884537669
2023-09-25,99421.7915448414,98923.4231386377,95781.9573342855,105892.231448452,93349.5174761136,104497.328801162
2023-09-26,100109.330539095,101138.664749586,94998.5094163347,107370.819627972,95564.7590870621,106712.57041211
2023-09-27,100803.165045639,100825.962039831,96301.2905546602,107518.373677334,95252.0563773069,106399.867702355
2023-09-28,99653.1710402968,99683.9900409362,96210.41085198,107518.373677334,94110.0843784121,105257.89570346
