"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"cada95379d7d30c1895419ace17f2ba7abcd9bf1253c22fb686b6b4926b3b4d8","extremos diarios",34752,0,0,0,0,0,0,1323,666040.872,0,0,0
"b14a53719809dd5ba2cb9dab72086f6fae3f6cbb2e9cccc01283cb3cf0305b04","extremos diarios",34680,0,0,0,0,0,0,13,3076.757,0,0,0
"80f0235659f7272c999fcf812ff62d1e021bad61e5286ebd1e42032888b82e07","extremos diarios",4753,0,0,0,0,0,0,74,21568.591,0,0,0
"9797b74cdb3e0c01d3b1688b22c35f6eefb8367385943f2f0a66d24d4427c26d","extremos diarios",17184,0,0,0,0,0,0,34,7264.188,0,0,0
"4d739b60e37168d583b46508e71cf2fdfb0f339b0d44a33cf8dbba1048aa9a45","extremos diarios",34752,0,0,0,0,0,0,2,415.897,0,0,0
"413e2a562f46833f812d56427c153a9d3133ade1e923d8ec6e101d4916fa0543","extremos diarios",5041,0,0,0,0,0,0,53,13043.098,0,0,0
"6516b3c6ad05b723f077960e0c1605fb1709678acde5a1084d2d51ca33e0909d","extremos diarios",33338,0,0,0,0,0,0,701,321830.2058,0,0,0
"2ff85da0ac21266402a2e1a6dbc18a9511146c32bde9c6d748aa9ce59faeeb2e","extremos diarios",15535,0,0,0,0,0,0,35,7233.024,0,0,0
"491abe24fb2e7a6a938848f5994f61cb35d8b0b87cb201de1430dd03bfbe773c","extremos diarios",31897,0,0,0,0,0,0,1,207.966,0,0,0
"ee6da748482831e1230431ccada97e9da3fb48fb9e6e582c86c4974a43d454d4","extremos diarios",360,0,0,0,0,0,0,1,297.401,0,0,0
"9d3f5b923f4d27c334c7f3e55bea4bc5c9098a05cab1187364b249095d422be7","extremos diarios",34752,0,0,0,0,0,0,13,2869.377,0,0,0
"20e256019729ad15768a198cb7e6594455ef7abf72dc7d816a60f842ba2c0a42","extremos diarios",16080,0,0,0,0,0,0,12,2467.81,0,0,0
"962fdbeaa2db3524e0b9078e70d3fb3590ca519ee9600a7ad72bfaedaa8dcba3","extremos diarios",44208,0,0,0,0,0,0,800,251027.407,0,0,0
"8d6e48a9281f785d17c78e964ee88c63fa7b9850fac572b89e0660e505b7e066","extremos diarios",28537,0,0,0,0,0,0,8,1894.377,0,0,0
"12d64f6be87ef72d8810cd62b8051682d106ce6d8ffbc2f5296b352ac0260b8b","extremos diarios",16176,0,0,0,0,0,0,447,105634.305,0,0,0
"6e89bd89572b9ade3ee5d09a84e1b7a9b6cff30bcf8371431508c4a92ee4efaf","extremos diarios",19464,0,0,0,0,0,0,78,16989.237,0,0,0
"0d4277fac539d444394b33ad19ffc7b6ebcefbef0262df4940b08de52b665ed7","extremos diarios",34752,0,0,0,0,0,0,12,2551.867,0,0,0
"8879dab7c8d758d88ca22b30e4e3e8b1e2d1a7566a1aa42a50f62e4807b5c8bd","extremos diarios",29785,0,0,0,0,0,0,119,26575.656,0,0,0
"313009cb98330f156837b7ef29204c691738cc16191bcb1b5bdcc79fbd885de2","extremos diarios",24888,0,0,0,0,0,0,11,2451.718,0,0,0
