"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2024-01-01,117849.044536839,127235.552772917,123239.772123806,131938.927726985,121778.169664403,132692.935881431
2024-01-02,127448.744038568,121971.943835804,117805.173974149,125982.113875975,116514.56072729,127429.326944319
2024-01-03,123114.262024808,128465.315443752,123107.385213562,132296.76282068,123007.932335237,133922.698552266
2024-01-04,123360.092036602,126546.381956711,120349.087650645,128604.567930434,121088.998848196,132003.765065225
2024-01-05,130810.965045476,127052.336698687,120954.319785233,128146.926545365,121594.953590173,132509.719807201
2024-01-06,128779.091044841,126584.16199634,126913.917697093,135006.492520221,121126.778887826,132041.545104854
2024-01-07,140609.327023132,136566.917169127,125047.252735865,133697.409306963,131109.534060612,142024.300277641
2024-01-08,145224.835036299,149453.921689237,133738.727225525,147112.985161501,143996.538580723,154911.304797751
2024-01-09,151738.814039247,150001.387033919,136031.375748226,147413.531238431,144544.003925404,155458.770142433
2024-01-10,157086.898039428,154147.992313327,137110.843284,149748.538870715,148690.609204813,159605.375421841
2024-01-11,154582.332518697,157165.824258585,136601.95657716,155262.499920723,151708.441150071,162623.207367099
2024-01-12,144851.502555792,152364.162138095,135829.146507573,153454.357086726,146906.77902958,157821.545246609
2024-01-13,137472.537046066,144558.829486005,135588.807837088,146886.99720153,139101.44637749,150016.212594519
2024-01-14,139758.236023495,138930.570664649,129589.25582461,143212.29045767,133473.187556135,144387.953773164
2024-01-15,137800.115049115,139020.166480214,133072.063048804,140536.886151205,133562.783371699,144477.549588728
2024-01-16,134496.484524489,132922.648941592,128860.788841556,140148.610095282,127465.265833077,138380.032050106
2024-01-17,125403.612536378,128060.552217409,127381.611246847,138955.482046261,122603.169108894,133517.935325923
2024-01-18,122609.032047748,126534.314033365,122460.543616209,135219.489366207,121076.930924851,131991.697141879
2024-01-19,131311.344042027,130003.562044524,120152.295185034,136998.827708131,124546.178936009,135460.945153038
2024-01-20,131740.453543781,136567.698619253,126776.374920773,136478.64209954,131110.315510738,142025.081727767
2024-01-21,131068.899028084,134768.123561029,127926.158742414,139380.191301219,129310.740452515,140225.506669543
2024-01-22,128742.412021214,131348.986113469,126357.65082619,136745.073150119,125891.603004955,136806.369221983
2024-01-23,119086.246515782,127568.221942713,121870.436586062,135036.881689935,122110.838834199,133025.605051228
2024-01-24,105231.987550455,118479.390705073,116088.311090761,130080.577677175,113022.007596559,123936.773813587
