"date","kWh_total","n_users","hdd_mean","cdd_mean","tmed_mean","any_holiday","coverage_ref_n_users","coverage_pct","coverage_ok","terminal_invalid","retained_for_forecast","coverage_rule"
2016-02-29,2.30100001394749,1,9.1,0,5.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-01,2.80399999581277,1,6.8,0,8.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-02,2.28800003789365,1,7.9,0,7.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-03,2.68200000282377,1,10.4,0,4.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-04,2.57599999755621,1,8.2,0,6.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-05,4.27800001204014,1,11.3,0,3.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-06,3.87900002673268,1,11.2,0,3.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-07,2.98999997600913,1,10.1,0,4.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-08,2.64200001955032,1,10.2,0,4.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-09,2.26600003242493,1,9.5,0,5.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-10,2.68399998359382,1,10.4,0,4.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-11,3.59499998390675,1,9.8,0,5.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-12,1.45200000889599,1,9.5,0,5.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-13,1.21300000045449,1,8.3,0,6.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-14,3.73000000696629,1,11.8,0,3.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-15,2.37599999271333,1,9.6,0,5.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-16,2.62899995595217,1,11.3,0,3.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-17,3.37399998586625,1,9.6,0,5.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-18,2.2540000025183,1,8.6,0,6.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-19,2.97599999606609,1,7,0,8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-20,3.88400000706315,1,5.6,0,9.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-21,3.0739999897778,1,7,0,8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-22,3.05499999970198,1,8.1,0,6.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-23,3.32899997569621,1,8.9,0,6.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-24,1.43999999761581,1,7.4,0,7.6,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-25,0.837000001221895,1,8.4,0,6.6,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-26,0.833000004291534,1,1.8,0,13.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-27,0.820000004023314,1,6.4,0,8.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-28,1.41999999992549,1,3.2,0,11.8,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-29,3.47399997711182,1,3,0,12,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-30,3.02399997785687,1,2.2,0,12.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-03-31,4.10000001452863,1,9.2,0,5.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-01,2.46800001338124,1,9.2,0,5.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-02,4.36200000531971,1,8,0,7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-03,3.55499998852611,1,7.5,0,7.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-04,4.30900003761053,1,6.3,0,8.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-05,3.97100001201034,1,7.2,0,7.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-06,2.51800001598895,1,5.8,0,9.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-07,3.67100008018315,1,8.2,0,6.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-08,2.86200000345707,1,10.2,0,4.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-09,3.0899999961257,1,7,0,8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-10,2.71699998807162,1,5.2,0,9.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-11,2.48900001309812,1,6.1,0,8.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-12,2.59400001261383,1,6.5,0,8.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-13,3.09299998171628,1,5.4,0,9.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-14,3.82800004072487,1,2.8,0,12.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-15,3.48700001463294,1,0,0,15.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-16,4.19400002993643,1,2.6,0,12.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-17,3.54800000600517,1,4.3,0,10.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-18,3.14300000481308,1,4.2,0,10.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-19,2.21700001414865,1,4.8,0,10.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-20,2.39700000360608,1,2.1,0,12.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-21,2.59400000423193,1,3.2,0,11.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-22,2.40899999253452,1,5.2,0,9.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-23,2.12400000169873,1,5,0,10,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-24,2.47500000149012,1,8,0,7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-25,1.99499998986721,1,7.6,0,7.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-26,2.30999995116144,1,6.1,0,8.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-27,2.4850000217557,1,6.2,0,8.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-28,1.6069999774918,1,8.6,0,6.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-29,1.61800001189113,1,6.4,0,8.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-04-30,3.6379999704659,1,8,0,7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-01,1.91799999773502,1,8,0,7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-02,2.14199997857213,1,7,0,8,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-03,2.06299997493625,1,5.9,0,9.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-04,1.53300000727177,1,1.4,0,13.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-05,2.87399998586625,1,0,0,15.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-06,2.7180000282824,1,0,0,15.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-07,2.76499998755753,1,0,0,15.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-08,1.341000020504,1,0.6,0,14.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-09,2.45800000429153,1,0,0,15.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-10,2.06199999526143,1,1,0,14,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-11,1.05799999926239,1,2.1,0,12.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-12,1.83599999733269,1,3.6,0,11.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-13,3.24300001561642,1,3.8,0,11.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-14,2.19199999049306,1,1.2,0,13.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-15,2.80900002457201,1,2,0,13,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-16,2.11599999759346,1,3,0,12,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-17,2.46199998259544,1,1.9,0,13.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-18,2.25600001588464,1,0.5,0,14.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-19,3.1950000282377,1,2.4,0,12.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-20,2.7170000039041,1,0,0,18.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-21,1.74199999496341,1,0,0,17.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-22,1.76400001719594,1,5.2,0,9.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-23,1.86599998921156,1,5,0,10,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-24,2.00900001451373,1,0,0,15.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-25,2.10600002668798,1,0,0,17.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-26,1.86700000055134,1,0,0,17.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-27,1.73900001309812,1,0,0,17.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-28,2.12100001052022,1,0,0,16.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-29,1.77200000733137,1,0.0999999999999996,0,14.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-30,1.93999999575317,1,1.1,0,13.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-05-31,2.22599998489022,1,1.9,0,13.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-01,1.98000000603497,1,2.6,0,12.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-02,2.06500001810491,1,0,0,15.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-03,1.80800001882017,1,0,0,19,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-04,2.87999998405576,1,0,0,16,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-05,2.07599999569356,1,0,0,18.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-06,1.73699999041855,1,0,0,18.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-07,2.81699998117983,1,0,0,18.7,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-08,2.06999997980893,1,0,0,20.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-09,2.17100002244115,1,0,0,20.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-06-10,1.97599999979138,1,0,0,15.1,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
