"cluster","cluster_label","cnae_section","cnae_section_label","n_users","pct_cluster","pct_global","support_ok"
6,"C6","F","F Construccion",1,0.143,0.004,FALSE
6,"C6","G","G Comercio",2,0.287,0.009,FALSE
6,"C6","H","H Transporte",4,0.574,0.017,FALSE
6,"C6","I","I Hosteleria",3,0.43,0.013,FALSE
6,"C6","K","K Finanzas",2,0.287,0.009,FALSE
6,"C6","N","N Administrativas",1,0.143,0.004,FALSE
6,"C6","O","O Administracion",407,58.393,1.732,TRUE
6,"C6","P","P Educacion",5,0.717,0.021,FALSE
6,"C6","R","R Arte y ocio",2,0.287,0.009,FALSE
6,"C6","S","S Otros servicios",3,0.43,0.013,FALSE
6,"C6","T","T Hogares",263,37.733,1.119,TRUE
