"cod_provincia","provincia","indicativo","station_name","fecha","climate_row_imputed","climate_any_imputed","n_climate_values_imputed","variables_imputed","tmed","tmax","tmin","prec","hrMedia","sol","velmedia","hdd","cdd"
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-10-11,FALSE,TRUE,1,"prec",15.5,19.5,11.5,1.87372567707015,82,0.3,1.1,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-10-21,FALSE,TRUE,1,"prec",10.7,13.2,8.2,0.149212284435028,79,4.3,3.9,4.3,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-10-28,FALSE,TRUE,1,"prec",13.6,16.5,10.6,0.877487847658216,66,5.2,5,1.4,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-10-29,FALSE,TRUE,1,"prec",15.8,19,12.6,0.420706650373286,75,4,5,0,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-04,FALSE,TRUE,1,"prec",12.5,15.7,9.3,0,86,3,2.8,2.5,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-05,FALSE,TRUE,1,"prec",13.5,16.8,10.2,0,78,1,4.2,1.5,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-11,FALSE,TRUE,1,"prec",11.2,17.2,5.2,0.0695119352848678,85,4.8,0.8,3.8,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-12,FALSE,TRUE,1,"prec",9.4,11.9,7,0.0658006913511786,92,4.5,3.9,5.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-13,FALSE,TRUE,1,"prec",9.3,13.8,4.8,0.0660024745268092,94,0.1,0.6,5.7,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-11-30,FALSE,TRUE,1,"prec",5.4,12.2,-1.3,0.553886252216975,91,4.3,0.3,9.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-12-15,FALSE,TRUE,1,"prec",9.4,13.5,5.4,0,73,0.7,4.2,5.6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2015-12-20,FALSE,TRUE,1,"prec",8.7,14.2,3.2,0.0195835690601968,78,3,2.5,6.3,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-01-25,FALSE,TRUE,1,"prec",9,11,7,0.0976958197872222,93,3,5.6,6,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-01-26,FALSE,TRUE,1,"prec",7.9,10,5.8,0.127946258116326,90,2.5,2.5,7.1,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-01-29,FALSE,TRUE,1,"prec",4.9,9.3,0.5,4.0689208784226,83,0.2,1.7,10.1,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-01-31,FALSE,TRUE,1,"prec",9.8,12.8,6.7,3.6428497224992,85,0.4,2.2,5.2,0
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",2016-03-11,FALSE,TRUE,1,"prec",5.2,7.9,2.5,14.1466546500812,78,2.8,3.9,9.8,0
